interation no:1                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  125   64720   -9.609500e+00    0.000e+00    3.103e-02    1.739e+00
  126   65235   -9.618810e+00    0.000e+00    3.107e-02    2.611e-01
  127   65749   -9.630996e+00    0.000e+00    3.111e-02    3.264e-01
  128   66262   -9.715540e+00    0.000e+00    3.126e-02    2.000e+00
  129   66776   -9.716179e+00    0.000e+00    3.126e-02    1.486e-02
  130   67291   -9.771357e+00    0.000e+00    3.140e-02    1.384e+00
  131   67806   -9.776539e+00    0.000e+00    3.141e-02    1.259e-01
  132   68320   -9.806543e+00    0.000e+00    3.146e-02    6.809e-01
  133   68834   -9.816674e+00    0.000e+00    3.146e-02    2.066e-01
  134   69350   -9.827143e+00    0.000e+00    3.146e-02    2.174e-01
  135   69863   -9.788699e+00    0.000e+00    3.146e-02    7.905e-01
  136   70377   -9.803755e+00    0.000e+00    3.146e-02    3.062e-01
  137   70893   -9.823534e+00    0.000e+00    3.147e-02    4.020e-01
  138   71413   -9.891780e+00    0.000e+00    1.481e-02    1.338e+00
  139   71927   -9.900201e+00    0.000e+00    1.490e-02    2.158e-01
  140   72448   -9.956065e+00    0.000e+00    1.532e-02    1.166e+00
  141   72968   -1.002685e+00    0.000e+00    1.540e-03    1.408e+00
  142   73485   -1.002686e+00    0.000e+00    1.541e-03    3.444e-03
  143   74010   -1.003530e+00    0.000e+00    1.554e-03    1.742e-01
Operation terminated by user during channel_calculate
